judge,pair_id,stratum,order,x_id,y_id,choice,winner_id,winner_kind,reason
deepseek-v4-flash,0000,verse:machine_verse,ab,machine_verse-05,verse-06,X,machine_verse-05,machine,"The passage achieves more through precise, resonant imagery and emotional restraint, while Y relies on conventional pastoral sentiment."
gpt-5.6-luna,0000,verse:machine_verse,ab,machine_verse-05,verse-06,X,machine_verse-05,machine,"Its precise domestic details and restrained grief create a more vivid, emotionally resonant portrait of absence."
gpt-5.6-luna-pro,0000,verse:machine_verse,ab,machine_verse-05,verse-06,X,machine_verse-05,machine,Its precise domestic images and restrained grief create a more coherent and emotionally resonant whole.
haiku-4.5,0000,verse:machine_verse,ab,machine_verse-05,verse-06,X,machine_verse-05,machine,The contemporary poem's tender domesticity and precise imagery are more moving than the dated Victorian verse's archaic conventions.
opus,0000,verse:machine_verse,ab,machine_verse-05,verse-06,X,machine_verse-05,machine,"X earns its ending with domestic evidence and a hard, unsentimental last line; Y is a pleasant but slight devotional stanza."
deepseek-v4-flash,0000,verse:machine_verse,ba,verse-06,machine_verse-05,Y,machine_verse-05,machine,Y captures a more subtle and original emotional intimacy through concrete domestic details.
gpt-5.6-luna,0000,verse:machine_verse,ba,verse-06,machine_verse-05,Y,machine_verse-05,machine,"Its precise domestic details and restrained longing create a more affecting, original emotional resonance."
gpt-5.6-luna-pro,0000,verse:machine_verse,ba,verse-06,machine_verse-05,Y,machine_verse-05,machine,Its precise domestic details and restrained tenderness create a more emotionally resonant portrait of absence.
haiku-4.5,0000,verse:machine_verse,ba,verse-06,machine_verse-05,Y,machine_verse-05,machine,precise documentation of small domestic evidence of love surpasses conventional religious allegory.
opus,0000,verse:machine_verse,ba,verse-06,machine_verse-05,X,verse-06,human,"Blake-like lyric compresses pastoral, sacrifice, and radiance into unforgettable music; Y is well-made but more conventional."
deepseek-v4-flash,0001,verse:machine_verse,ab,machine_verse-03,verse-05,X,machine_verse-03,machine,"The second passage relies on conventional poetic lament, while the first achieves fresh, visceral imagery and a more profound perspective on war's futility."
gpt-5.6-luna,0001,verse:machine_verse,ab,machine_verse-03,verse-05,Y,verse-05,human,"Its intricate rhythm, sound, and emotional compression create a more richly accomplished meditation on memory and loss."
gpt-5.6-luna-pro,0001,verse:machine_verse,ab,machine_verse-03,verse-05,Y,verse-05,human,"Its intricate rhythm, formal control, and layered meditation on memory and loss give it greater literary richness."
haiku-4.5,0001,verse:machine_verse,ab,machine_verse-03,verse-05,Y,verse-05,human,Shakespeare's perfectly formed sonnet on grief is more masterfully executed than the contemporary war poem.
